# <K/N> <U/N> <E/N> <U/N>
-6.886124e-01 -7.043574e+00 -7.732186e+00 -7.043574e+00
-6.087385e-01 -7.128837e+00 -7.737575e+00 -7.128837e+00
-5.846061e-01 -7.168769e+00 -7.753375e+00 -7.168769e+00
-5.652252e-01 -7.192471e+00 -7.757696e+00 -7.192471e+00
-5.325152e-01 -7.219733e+00 -7.752248e+00 -7.219733e+00
-5.195593e-01 -7.234834e+00 -7.754394e+00 -7.234834e+00
-5.049574e-01 -7.232167e+00 -7.737125e+00 -7.232167e+00
-5.201129e-01 -7.225269e+00 -7.745382e+00 -7.225269e+00
-5.247537e-01 -7.225218e+00 -7.749971e+00 -7.225218e+00
-5.065574e-01 -7.238486e+00 -7.745043e+00 -7.238486e+00
-5.000680e-01 -7.240011e+00 -7.740079e+00 -7.240011e+00
-5.221598e-01 -7.232897e+00 -7.755057e+00 -7.232897e+00
-5.257648e-01 -7.228985e+00 -7.754750e+00 -7.228985e+00
-5.180535e-01 -7.240132e+00 -7.758185e+00 -7.240132e+00
-4.954436e-01 -7.261855e+00 -7.757298e+00 -7.261855e+00
-5.055204e-01 -7.254116e+00 -7.759636e+00 -7.254116e+00
-4.977997e-01 -7.255571e+00 -7.753370e+00 -7.255571e+00
-5.197479e-01 -7.240260e+00 -7.760008e+00 -7.240260e+00
-5.207354e-01 -7.236831e+00 -7.757566e+00 -7.236831e+00
-4.930025e-01 -7.264513e+00 -7.757516e+00 -7.264513e+00
-5.033545e-01 -7.262388e+00 -7.765743e+00 -7.262388e+00
-5.113627e-01 -7.245971e+00 -7.757333e+00 -7.245971e+00
-5.080990e-01 -7.242604e+00 -7.750703e+00 -7.242604e+00
-4.930780e-01 -7.253648e+00 -7.746726e+00 -7.253648e+00
-4.944447e-01 -7.259138e+00 -7.753583e+00 -7.259138e+00
-4.909985e-01 -7.260449e+00 -7.751448e+00 -7.260449e+00
-4.920833e-01 -7.247387e+00 -7.739471e+00 -7.247387e+00
-4.950688e-01 -7.251645e+00 -7.746713e+00 -7.251645e+00
-5.117154e-01 -7.236837e+00 -7.748552e+00 -7.236837e+00
-5.147372e-01 -7.244599e+00 -7.759337e+00 -7.244599e+00
-5.108988e-01 -7.245487e+00 -7.756386e+00 -7.245487e+00
-4.732344e-01 -7.280602e+00 -7.753836e+00 -7.280602e+00
-4.698745e-01 -7.274357e+00 -7.744231e+00 -7.274357e+00
-4.753512e-01 -7.269999e+00 -7.745351e+00 -7.269999e+00
-4.839557e-01 -7.260614e+00 -7.744570e+00 -7.260614e+00
-5.165005e-01 -7.242883e+00 -7.759383e+00 -7.242883e+00
-5.113584e-01 -7.242014e+00 -7.753372e+00 -7.242014e+00
-5.059493e-01 -7.245805e+00 -7.751754e+00 -7.245805e+00
-5.070364e-01 -7.251708e+00 -7.758745e+00 -7.251708e+00
-5.064628e-01 -7.245596e+00 -7.752059e+00 -7.245596e+00
-4.891234e-01 -7.259057e+00 -7.748180e+00 -7.259057e+00
-4.745403e-01 -7.268682e+00 -7.743223e+00 -7.268682e+00
-4.791158e-01 -7.266920e+00 -7.746035e+00 -7.266920e+00
-5.056168e-01 -7.249166e+00 -7.754783e+00 -7.249166e+00
-5.073122e-01 -7.246608e+00 -7.753920e+00 -7.246608e+00
-5.067889e-01 -7.239287e+00 -7.746076e+00 -7.239287e+00
-4.974296e-01 -7.247186e+00 -7.744616e+00 -7.247186e+00
-4.904573e-01 -7.249639e+00 -7.740096e+00 -7.249639e+00
-4.804589e-01 -7.261984e+00 -7.742443e+00 -7.261984e+00
-4.764316e-01 -7.265810e+00 -7.742241e+00 -7.265810e+00
-4.989667e-01 -7.246123e+00 -7.745089e+00 -7.246123e+00
-4.894866e-01 -7.255542e+00 -7.745028e+00 -7.255542e+00
-4.984667e-01 -7.249796e+00 -7.748263e+00 -7.249796e+00
-4.987682e-01 -7.253567e+00 -7.752335e+00 -7.253567e+00
-5.071019e-01 -7.243378e+00 -7.750480e+00 -7.243378e+00
-5.015193e-01 -7.241768e+00 -7.743288e+00 -7.241768e+00
-4.845873e-01 -7.263009e+00 -7.747597e+00 -7.263009e+00
-4.821218e-01 -7.265564e+00 -7.747686e+00 -7.265564e+00
-4.937486e-01 -7.254398e+00 -7.748146e+00 -7.254398e+00
-5.035073e-01 -7.248793e+00 -7.752300e+00 -7.248793e+00
-5.116780e-01 -7.249167e+00 -7.760845e+00 -7.249167e+00
-5.155825e-01 -7.239886e+00 -7.755468e+00 -7.239886e+00
-4.973247e-01 -7.247732e+00 -7.745056e+00 -7.247732e+00
-5.164003e-01 -7.238430e+00 -7.754830e+00 -7.238430e+00
-4.824560e-01 -7.273820e+00 -7.756276e+00 -7.273820e+00
-4.977601e-01 -7.250275e+00 -7.748035e+00 -7.250275e+00
-4.843304e-01 -7.257393e+00 -7.741723e+00 -7.257393e+00
-4.712024e-01 -7.274047e+00 -7.745250e+00 -7.274047e+00
-4.799487e-01 -7.271897e+00 -7.751845e+00 -7.271897e+00
-5.113237e-01 -7.232466e+00 -7.743790e+00 -7.232466e+00
-5.036751e-01 -7.250440e+00 -7.754115e+00 -7.250440e+00
-5.162024e-01 -7.237629e+00 -7.753832e+00 -7.237629e+00
-5.224622e-01 -7.233012e+00 -7.755474e+00 -7.233012e+00
-5.245569e-01 -7.230801e+00 -7.755358e+00 -7.230801e+00
-4.976056e-01 -7.237024e+00 -7.734629e+00 -7.237024e+00
-5.100702e-01 -7.233465e+00 -7.743535e+00 -7.233465e+00
-5.058338e-01 -7.238326e+00 -7.744159e+00 -7.238326e+00
-4.861053e-01 -7.252704e+00 -7.738809e+00 -7.252704e+00
-4.984204e-01 -7.255485e+00 -7.753905e+00 -7.255485e+00
-5.018004e-01 -7.241882e+00 -7.743682e+00 -7.241882e+00
-4.981971e-01 -7.247328e+00 -7.745525e+00 -7.247328e+00
-5.302255e-01 -7.233739e+00 -7.763965e+00 -7.233739e+00
-4.888635e-01 -7.253930e+00 -7.742794e+00 -7.253930e+00
-4.829306e-01 -7.260557e+00 -7.743488e+00 -7.260557e+00
-4.913658e-01 -7.248583e+00 -7.739949e+00 -7.248583e+00
-5.092375e-01 -7.248708e+00 -7.757945e+00 -7.248708e+00
-5.097557e-01 -7.252306e+00 -7.762062e+00 -7.252306e+00
-5.300364e-01 -7.227990e+00 -7.758026e+00 -7.227990e+00
-5.304907e-01 -7.225938e+00 -7.756429e+00 -7.225938e+00
-5.397318e-01 -7.223349e+00 -7.763080e+00 -7.223349e+00
-5.528344e-01 -7.195024e+00 -7.747858e+00 -7.195024e+00
-5.302937e-01 -7.223398e+00 -7.753692e+00 -7.223398e+00
-5.094876e-01 -7.245128e+00 -7.754616e+00 -7.245128e+00
-5.211534e-01 -7.224103e+00 -7.745256e+00 -7.224103e+00
-5.254707e-01 -7.224121e+00 -7.749592e+00 -7.224121e+00
-5.217090e-01 -7.232640e+00 -7.754349e+00 -7.232640e+00
-5.241581e-01 -7.221187e+00 -7.745345e+00 -7.221187e+00
-4.972649e-01 -7.253422e+00 -7.750687e+00 -7.253422e+00
-4.919037e-01 -7.276295e+00 -7.768199e+00 -7.276295e+00
-4.885174e-01 -7.286254e+00 -7.774772e+00 -7.286254e+00
-4.747893e-01 -7.276803e+00 -7.751592e+00 -7.276803e+00
-4.788279e-01 -7.268186e+00 -7.747014e+00 -7.268186e+00
-4.860513e-01 -7.264182e+00 -7.750233e+00 -7.264182e+00
-5.104458e-01 -7.247357e+00 -7.757803e+00 -7.247357e+00
-5.082927e-01 -7.234814e+00 -7.743107e+00 -7.234814e+00
-5.100351e-01 -7.234304e+00 -7.744339e+00 -7.234304e+00
-5.052351e-01 -7.247528e+00 -7.752763e+00 -7.247528e+00
-5.133732e-01 -7.244791e+00 -7.758164e+00 -7.244791e+00
-5.219361e-01 -7.223714e+00 -7.745650e+00 -7.223714e+00
-5.307212e-01 -7.217521e+00 -7.748242e+00 -7.217521e+00
-5.233639e-01 -7.223275e+00 -7.746639e+00 -7.223275e+00
-5.084728e-01 -7.222247e+00 -7.730719e+00 -7.222247e+00
-5.438574e-01 -7.210765e+00 -7.754623e+00 -7.210765e+00
-5.258491e-01 -7.224661e+00 -7.750510e+00 -7.224661e+00
-4.897792e-01 -7.248906e+00 -7.738685e+00 -7.248906e+00
-4.880311e-01 -7.259377e+00 -7.747408e+00 -7.259377e+00
-4.937840e-01 -7.248618e+00 -7.742402e+00 -7.248618e+00
-4.989253e-01 -7.243116e+00 -7.742042e+00 -7.243116e+00
-5.129466e-01 -7.237473e+00 -7.750419e+00 -7.237473e+00
-4.874001e-01 -7.242530e+00 -7.729930e+00 -7.242530e+00
-4.968092e-01 -7.252364e+00 -7.749173e+00 -7.252364e+00
-4.830931e-01 -7.260389e+00 -7.743482e+00 -7.260389e+00
-5.076828e-01 -7.226521e+00 -7.734204e+00 -7.226521e+00
-5.061271e-01 -7.228367e+00 -7.734494e+00 -7.228367e+00
-5.035870e-01 -7.244510e+00 -7.748097e+00 -7.244510e+00
-5.045449e-01 -7.243703e+00 -7.748247e+00 -7.243703e+00
-4.753403e-01 -7.262471e+00 -7.737811e+00 -7.262471e+00
-4.821125e-01 -7.270587e+00 -7.752699e+00 -7.270587e+00
-5.031406e-01 -7.240845e+00 -7.743986e+00 -7.240845e+00
-5.143674e-01 -7.232894e+00 -7.747262e+00 -7.232894e+00
-5.195687e-01 -7.222310e+00 -7.741879e+00 -7.222310e+00
-5.267081e-01 -7.224339e+00 -7.751047e+00 -7.224339e+00
-5.108290e-01 -7.238427e+00 -7.749256e+00 -7.238427e+00
-4.904374e-01 -7.241957e+00 -7.732395e+00 -7.241957e+00
-5.076329e-01 -7.234370e+00 -7.742003e+00 -7.234370e+00
-5.250105e-01 -7.231659e+00 -7.756669e+00 -7.231659e+00
-5.303954e-01 -7.223783e+00 -7.754178e+00 -7.223783e+00
